housing,existing_credits,duration,credit_amount,age,personal_status,purpose,credit_history,type
домовладелец,1,33,12291,40,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
арендатор,2,13,2719,19,женщина,мебель,есть непогашенные кредиты,ненадежный
домовладелец,1,23,3981,29,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,39,11439,24,мужчина (женатый или вдовец),бизнес,есть просрочки платежей,надежный
домовладелец,1,14,5301,26,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,88,13079,37,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,1,64,10589,32,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,57,12824,37,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,82,12938,33,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
арендатор,1,26,4942,19,женщина,подержанная машина,все кредиты погашены,надежный
домовладелец,1,70,13640,42,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,3,41,6606,27,мужчина (женатый или вдовец),новая машина,есть просрочки платежей,ненадежный
домовладелец,1,73,13730,29,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,2,13,738,43,женщина,новая машина,есть просрочки платежей,надежный
домовладелец,1,36,6528,24,мужчина (одинокий),новая машина,все кредиты погашены,надежный
домовладелец,1,49,2521,27,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,61,11135,31,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,24,4311,22,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,65,7937,33,мужчина (разведенный),бизнес,есть просрочки платежей,надежный
арендатор,1,57,13465,24,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
арендатор,2,41,12247,30,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
арендатор,1,23,485,23,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,46,6011,41,мужчина (одинокий),образование,есть просрочки платежей,надежный
без жилья,2,36,9204,35,женщина,бизнес,не было кредитов,ненадежный
арендатор,1,58,13485,22,мужчина (женатый или вдовец),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,44,14005,30,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,2,39,2588,30,женщина,образование,есть просрочки платежей,надежный
домовладелец,2,12,2555,27,женщина,новая машина,не было кредитов,ненадежный
домовладелец,2,79,14030,29,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,30,1967,41,женщина,новая машина,есть непогашенные кредиты,ненадежный
арендатор,1,16,1195,25,женщина,бизнес,есть непогашенные кредиты,надежный
домовладелец,2,41,11979,37,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,1,59,4557,32,женщина,мебель,есть непогашенные кредиты,ненадежный
арендатор,1,53,9866,47,мужчина (одинокий),образование,есть непогашенные кредиты,надежный
арендатор,1,75,12933,33,мужчина (одинокий),ремонт жилья,есть непогашенные кредиты,ненадежный
домовладелец,1,6,1619,49,женщина,образование,есть непогашенные кредиты,надежный
домовладелец,1,70,13105,45,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,17,11250,28,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,18,1640,64,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,2,8,1511,34,женщина,бизнес,есть просрочки платежей,надежный
домовладелец,1,51,6255,32,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,1,39,12301,36,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,50,9977,32,женщина,подержанная машина,есть непогашенные кредиты,надежный
арендатор,1,59,8133,30,женщина,бизнес,все кредиты погашены,ненадежный
домовладелец,1,24,3901,39,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,2,20,1150,22,женщина,бизнес,есть просрочки платежей,надежный
домовладелец,1,62,11713,25,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,60,9875,32,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
арендатор,1,8,2606,45,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,73,12944,67,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,8,748,25,женщина,бизнес,все кредиты погашены,ненадежный
арендатор,2,16,2224,22,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,1,64,12263,21,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
домовладелец,2,60,17235,42,мужчина (одинокий),новая машина,все кредиты погашены,ненадежный
без жилья,1,72,12008,37,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
арендатор,1,19,4266,21,женщина,новая машина,есть непогашенные кредиты,надежный
домовладелец,2,46,12070,33,мужчина (одинокий),мебель,не было кредитов,надежный
домовладелец,1,56,7820,25,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,19,1006,21,женщина,другое,есть непогашенные кредиты,ненадежный
без жилья,3,13,2585,50,женщина,образование,есть просрочки платежей,надежный
домовладелец,1,39,22109,26,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,22,16891,35,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
домовладелец,2,66,18336,42,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
домовладелец,1,24,1758,25,женщина,ремонт жилья,есть непогашенные кредиты,ненадежный
домовладелец,1,68,12679,20,мужчина (одинокий),мебель,все кредиты погашены,надежный
домовладелец,2,62,12600,35,мужчина (одинокий),мебель,есть просрочки платежей,надежный
арендатор,1,8,523,27,женщина,образование,все кредиты погашены,ненадежный
арендатор,1,41,9076,23,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,16,4149,28,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,1,73,18502,35,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
арендатор,1,30,10912,29,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
арендатор,2,11,2842,23,женщина,мебель,есть просрочки платежей,надежный
домовладелец,1,33,8284,41,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
домовладелец,1,67,11653,40,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
домовладелец,2,44,16811,25,мужчина (женатый или вдовец),подержанная машина,не было кредитов,надежный
домовладелец,1,39,14801,39,мужчина (одинокий),мебель,есть просрочки платежей,надежный
домовладелец,1,17,956,33,женщина,бытовая техника,есть просрочки платежей,ненадежный
домовладелец,1,83,12293,32,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
без жилья,1,71,12575,56,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,36,12575,32,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,54,13437,31,мужчина (одинокий),мебель,все кредиты погашены,надежный
домовладелец,2,39,14377,23,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
арендатор,2,16,2699,26,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,66,10510,28,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,11,1774,27,женщина,мебель,есть непогашенные кредиты,ненадежный
арендатор,2,46,12218,43,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
домовладелец,2,21,3163,27,женщина,мебель,есть просрочки платежей,надежный
арендатор,1,8,1547,36,женщина,мебель,есть просрочки платежей,надежный
домовладелец,1,46,7161,36,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,71,16164,27,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,18,3632,25,женщина,бытовая техника,есть просрочки платежей,надежный
без жилья,1,46,19933,26,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
домовладелец,2,46,4566,34,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
арендатор,1,16,10225,25,женщина,новая машина,есть непогашенные кредиты,надежный
домовладелец,1,22,10932,33,мужчина (одинокий),новая машина,все кредиты погашены,ненадежный
домовладелец,1,36,21008,73,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,3,26,8536,32,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,61,9482,36,мужчина (женатый или вдовец),бизнес,есть непогашенные кредиты,надежный
без жилья,2,60,20671,38,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,2,61,9879,27,мужчина (разведенный),бизнес,есть просрочки платежей,ненадежный
без жилья,1,33,13998,54,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,57,7964,40,мужчина (одинокий),бытовая техника,есть просрочки платежей,ненадежный
без жилья,1,103,21600,61,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
арендатор,2,22,9013,26,мужчина (женатый или вдовец),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,56,9420,27,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,11,1611,28,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,47,10851,59,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
арендатор,2,9,2181,27,женщина,мебель,есть просрочки платежей,надежный
домовладелец,2,51,15219,32,мужчина (одинокий),образование,есть просрочки платежей,надежный
домовладелец,1,65,10551,32,мужчина (одинокий),другое,все кредиты погашены,ненадежный
домовладелец,1,53,6672,33,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,12,2999,32,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,26,7118,50,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
без жилья,1,44,18878,71,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,73,12504,31,мужчина (одинокий),новая машина,все кредиты погашены,надежный
домовладелец,2,74,18081,65,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,1,73,9576,35,мужчина (женатый или вдовец),новая машина,есть непогашенные кредиты,надежный
арендатор,1,58,17176,24,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,47,10427,55,мужчина (одинокий),ремонт жилья,есть просрочки платежей,надежный
арендатор,2,62,13899,58,мужчина (разведенный),бизнес,есть непогашенные кредиты,ненадежный
домовладелец,1,22,953,30,женщина,новая машина,есть непогашенные кредиты,ненадежный
без жилья,2,67,10513,33,мужчина (одинокий),новая машина,все кредиты погашены,ненадежный
без жилья,1,67,8854,60,мужчина (одинокий),образование,есть непогашенные кредиты,надежный
домовладелец,1,39,14274,27,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,11,13570,87,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
арендатор,2,25,3004,29,женщина,новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,44,9277,27,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
арендатор,1,19,2428,28,женщина,мебель,есть непогашенные кредиты,надежный
арендатор,1,49,9923,31,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,37,3585,23,женщина,новая машина,есть непогашенные кредиты,ненадежный
арендатор,1,23,1240,18,женщина,новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,63,15229,39,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
без жилья,1,4,1421,30,женщина,образование,все кредиты погашены,ненадежный
домовладелец,2,70,14585,61,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,3,9,1244,49,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,1,47,15036,27,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
домовладелец,2,54,11395,27,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
арендатор,1,9,1596,23,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,2,66,9562,33,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
без жилья,1,41,10310,28,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
арендатор,1,73,13573,37,мужчина (разведенный),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,3,36,13155,32,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
арендатор,1,53,9379,27,мужчина (одинокий),бытовая техника,все кредиты погашены,ненадежный
арендатор,1,29,3141,29,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,36,5466,21,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,79,19845,22,мужчина (одинокий),подержанная машина,есть просрочки платежей,ненадежный
арендатор,1,18,4216,20,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,6,1892,28,женщина,образование,есть просрочки платежей,ненадежный
домовладелец,1,11,1106,47,женщина,образование,есть непогашенные кредиты,ненадежный
без жилья,1,91,14949,54,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,66,12501,57,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
арендатор,1,12,740,21,женщина,мебель,есть непогашенные кредиты,надежный
арендатор,2,33,4627,53,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,56,9346,31,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,42,24867,32,женщина,другое,не было кредитов,ненадежный
домовладелец,1,41,7382,49,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,47,10796,35,мужчина (одинокий),мебель,есть просрочки платежей,ненадежный
домовладелец,1,46,9185,23,мужчина (одинокий),другое,есть просрочки платежей,надежный
домовладелец,1,33,10319,59,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,66,17267,24,мужчина (одинокий),другое,есть просрочки платежей,надежный
домовладелец,1,47,14491,24,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,22,1074,18,женщина,мебель,есть просрочки платежей,надежный
домовладелец,1,12,2396,34,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,62,17858,38,мужчина (одинокий),бизнес,есть просрочки платежей,надежный
без жилья,1,70,7662,40,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
арендатор,1,17,2615,20,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,1,51,9156,25,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
арендатор,2,75,15822,22,мужчина (одинокий),мебель,есть просрочки платежей,надежный
домовладелец,1,22,1774,47,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,2,22,17806,40,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
арендатор,1,68,13303,26,мужчина (разведенный),мебель,есть непогашенные кредиты,надежный
домовладелец,2,41,7801,27,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
домовладелец,2,33,9337,27,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,38,2315,28,женщина,новая машина,есть непогашенные кредиты,ненадежный
без жилья,1,102,17129,40,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,10,1603,31,женщина,новая машина,есть просрочки платежей,надежный
домовладелец,1,14,3712,27,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,7,1643,25,женщина,новая машина,есть непогашенные кредиты,надежный
арендатор,1,26,911,18,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,78,13369,23,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,13,1121,30,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,1,46,10781,50,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,46,12966,55,мужчина (одинокий),образование,есть просрочки платежей,надежный
арендатор,1,41,8454,43,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,73,14765,25,мужчина (разведенный),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,47,8713,21,мужчина (разведенный),бытовая техника,есть непогашенные кредиты,надежный
без жилья,1,73,19609,66,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,75,8589,32,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
домовладелец,1,56,12416,39,мужчина (разведенный),новая машина,есть просрочки платежей,надежный
домовладелец,1,79,11858,44,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,2,61,7134,19,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,1,44,9499,55,женщина,подержанная машина,все кредиты погашены,ненадежный
домовладелец,1,44,7167,39,мужчина (женатый или вдовец),бытовая техника,есть просрочки платежей,ненадежный
домовладелец,1,53,9759,22,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,35,4182,25,женщина,бытовая техника,есть просрочки платежей,надежный
без жилья,3,64,16538,53,мужчина (женатый или вдовец),бытовая техника,есть просрочки платежей,надежный
арендатор,1,77,11475,20,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,14,3080,18,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,1,25,5355,30,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,44,14046,30,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,1,61,12624,28,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,9,1861,22,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,63,15735,34,мужчина (одинокий),мебель,есть просрочки платежей,надежный
домовладелец,1,99,20240,45,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,36,3608,29,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
без жилья,2,47,15089,36,мужчина (одинокий),ремонт жилья,есть просрочки платежей,надежный
домовладелец,1,29,846,30,женщина,образование,есть непогашенные кредиты,ненадежный
домовладелец,1,68,13048,38,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
домовладелец,1,68,10713,32,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,54,9920,23,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,76,11780,23,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,30,9039,53,мужчина (разведенный),мебель,есть непогашенные кредиты,надежный
домовладелец,1,46,5315,67,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,82,13629,39,мужчина (разведенный),подержанная машина,есть непогашенные кредиты,надежный
арендатор,2,42,9329,25,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,2,24,3469,21,женщина,мебель,есть просрочки платежей,надежный
без жилья,2,35,5808,22,женщина,образование,есть просрочки платежей,надежный
домовладелец,2,66,13545,32,мужчина (одинокий),бизнес,есть просрочки платежей,надежный
домовладелец,1,46,14947,22,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,3,36,10864,56,мужчина (одинокий),образование,есть непогашенные кредиты,надежный
арендатор,1,60,14882,29,мужчина (одинокий),бизнес,все кредиты погашены,ненадежный
домовладелец,1,13,2017,31,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,93,17361,26,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,47,12163,27,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,26,8581,28,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,63,15545,32,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,80,18154,30,мужчина (одинокий),образование,есть просрочки платежей,ненадежный
домовладелец,1,16,4681,25,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,75,13413,28,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,2,17,1716,24,женщина,новая машина,не было кредитов,ненадежный
домовладелец,1,56,10675,27,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,22,12084,25,мужчина (женатый или вдовец),новая машина,есть просрочки платежей,надежный
домовладелец,1,67,11367,30,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,76,17365,32,мужчина (женатый или вдовец),новая машина,есть просрочки платежей,ненадежный
домовладелец,1,72,15394,26,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,49,13670,57,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,73,11441,21,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
арендатор,1,65,11042,28,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,41,11887,29,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,19,2802,21,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,39,5902,30,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,36,11883,68,мужчина (одинокий),мебель,есть просрочки платежей,ненадежный
домовладелец,2,51,8764,40,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
домовладелец,2,47,4662,33,женщина,бизнес,не было кредитов,надежный
домовладелец,1,73,17476,29,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,2,45,6613,25,женщина,новая машина,есть просрочки платежей,ненадежный
арендатор,1,87,19695,30,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
домовладелец,1,30,12787,31,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,57,11899,32,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
арендатор,1,94,16593,33,мужчина (одинокий),бизнес,есть непогашенные кредиты,ненадежный
домовладелец,1,36,5577,30,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,4,1122,32,женщина,новая машина,все кредиты погашены,ненадежный
домовладелец,2,49,7372,36,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,12,3216,44,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,1,64,7428,37,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
домовладелец,2,46,8127,38,мужчина (одинокий),бытовая техника,не было кредитов,ненадежный
домовладелец,2,60,9382,38,мужчина (женатый или вдовец),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,34,3565,26,женщина,новая машина,есть непогашенные кредиты,надежный
домовладелец,2,58,18974,38,мужчина (одинокий),другое,есть просрочки платежей,ненадежный
домовладелец,2,46,9454,25,мужчина (одинокий),ремонт жилья,не было кредитов,ненадежный
домовладелец,1,63,11267,37,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,30,6430,23,мужчина (одинокий),бытовая техника,все кредиты погашены,надежный
домовладелец,1,15,2078,33,женщина,бытовая техника,есть непогашенные кредиты,надежный
без жилья,1,60,9430,53,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
без жилья,1,81,19494,35,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,58,16724,36,мужчина (разведенный),мебель,не было кредитов,надежный
без жилья,1,91,17894,31,мужчина (одинокий),образование,есть просрочки платежей,надежный
арендатор,2,47,6365,29,женщина,бизнес,не было кредитов,ненадежный
домовладелец,3,53,14856,54,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,62,17145,28,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,6,331,53,женщина,новая машина,есть просрочки платежей,надежный
домовладелец,1,36,7042,27,мужчина (женатый или вдовец),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,17,9997,65,мужчина (разведенный),другое,есть непогашенные кредиты,надежный
арендатор,1,37,3541,22,женщина,мебель,есть непогашенные кредиты,ненадежный
без жилья,1,73,21132,42,мужчина (одинокий),образование,есть непогашенные кредиты,ненадежный
домовладелец,1,46,14676,30,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,21,3085,39,женщина,мебель,не было кредитов,надежный
домовладелец,1,46,9671,32,мужчина (одинокий),другое,не было кредитов,надежный
домовладелец,1,38,3726,33,женщина,другое,все кредиты погашены,надежный
домовладелец,1,63,7792,30,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,30,4472,29,женщина,бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,18,2735,46,женщина,мебель,есть непогашенные кредиты,надежный
арендатор,1,79,20362,31,мужчина (женатый или вдовец),подержанная машина,есть непогашенные кредиты,ненадежный
арендатор,1,70,11047,20,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
без жилья,2,79,19764,29,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,1,49,13273,36,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
