housing,existing_credits,duration,credit_amount,age,personal_status,purpose,credit_history,type
арендатор,1,64,16821,19,женщина,подержанная машина,все кредиты погашены,надежный
домовладелец,1,70,14959,42,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,3,42,7293,27,мужчина (женатый или вдовец),новая машина,есть просрочки платежей,ненадежный
домовладелец,1,74,15056,29,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,2,46,5996,43,женщина,новая машина,есть просрочки платежей,надежный
домовладелец,1,37,7207,24,мужчина (одинокий),новая машина,все кредиты погашены,надежный
домовладелец,1,83,13167,27,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,61,12246,31,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,62,16095,22,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,66,8755,33,мужчина (разведенный),бизнес,есть просрочки платежей,надежный
арендатор,1,57,14771,24,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
арендатор,2,42,13453,30,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
арендатор,1,61,3388,23,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,46,6638,41,мужчина (одинокий),образование,есть просрочки платежей,надежный
без жилья,2,74,20035,35,женщина,бизнес,не было кредитов,ненадежный
арендатор,1,59,14792,22,мужчина (женатый или вдовец),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,44,15353,30,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,2,76,13313,30,женщина,образование,есть просрочки платежей,надежный
домовладелец,2,44,13242,27,женщина,новая машина,не было кредитов,ненадежный
домовладелец,2,79,15380,29,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,68,11772,41,женщина,новая машина,есть непогашенные кредиты,ненадежный
арендатор,1,51,8890,25,женщина,бизнес,есть непогашенные кредиты,надежный
домовладелец,2,42,13163,37,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,1,88,16391,32,женщина,мебель,есть непогашенные кредиты,ненадежный
арендатор,1,53,10865,47,мужчина (одинокий),образование,есть непогашенные кредиты,надежный
арендатор,1,75,14195,33,мужчина (одинокий),ремонт жилья,есть непогашенные кредиты,ненадежный
домовладелец,1,27,10659,49,женщина,образование,есть непогашенные кредиты,надежный
домовладелец,1,70,14381,45,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,17,12371,28,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,54,10733,64,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,2,34,10260,34,женщина,бизнес,есть просрочки платежей,надежный
домовладелец,1,84,18057,32,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,1,39,13511,36,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,83,20441,32,женщина,подержанная машина,есть непогашенные кредиты,надежный
арендатор,1,88,19408,30,женщина,бизнес,все кредиты погашены,ненадежный
домовладелец,1,62,15559,39,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,2,57,8663,22,женщина,бизнес,есть просрочки платежей,надежный
домовладелец,1,62,12874,25,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,89,20390,32,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
арендатор,1,34,13352,45,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,74,14208,67,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,34,6078,25,женщина,бизнес,все кредиты погашены,ненадежный
арендатор,2,51,12466,22,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,1,64,13470,21,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
домовладелец,2,60,18819,42,мужчина (одинокий),новая машина,все кредиты погашены,ненадежный
без жилья,1,72,13194,37,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
арендатор,1,56,16039,21,женщина,новая машина,есть непогашенные кредиты,надежный
домовладелец,2,46,13261,33,мужчина (одинокий),мебель,не было кредитов,надежный
домовладелец,1,56,8627,25,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,56,7868,21,женщина,другое,есть непогашенные кредиты,ненадежный
без жилья,3,46,13307,50,женщина,образование,есть просрочки платежей,надежный
домовладелец,1,39,23989,26,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,22,18453,35,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
домовладелец,2,67,19994,42,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
домовладелец,1,62,11132,25,женщина,ремонт жилья,есть непогашенные кредиты,ненадежный
домовладелец,1,68,13920,20,мужчина (одинокий),мебель,все кредиты погашены,надежный
домовладелец,2,62,13835,35,мужчина (одинокий),мебель,есть просрочки платежей,надежный
арендатор,1,34,3863,27,женщина,образование,все кредиты погашены,ненадежный
арендатор,1,42,10001,23,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,51,15890,28,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,1,73,20171,35,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
арендатор,1,30,12003,29,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
арендатор,2,42,13832,23,женщина,мебель,есть просрочки платежей,надежный
домовладелец,1,34,9136,41,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
домовладелец,1,68,12808,40,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
домовладелец,2,44,18367,25,мужчина (женатый или вдовец),подержанная машина,не было кредитов,надежный
домовладелец,1,39,16210,39,мужчина (одинокий),мебель,есть просрочки платежей,надежный
домовладелец,1,53,7563,33,женщина,бытовая техника,есть просрочки платежей,ненадежный
домовладелец,1,83,13503,32,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
без жилья,1,71,13808,56,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,37,13808,32,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,54,14740,31,мужчина (одинокий),мебель,все кредиты погашены,надежный
домовладелец,2,39,15754,23,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
арендатор,2,51,13546,26,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,67,11566,28,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,42,11184,27,женщина,мебель,есть непогашенные кредиты,ненадежный
арендатор,2,46,13421,43,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
домовладелец,2,59,14420,27,женщина,мебель,есть просрочки платежей,надежный
арендатор,1,34,10396,36,женщина,мебель,есть просрочки платежей,надежный
домовладелец,1,46,7904,36,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,71,17674,27,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,54,15173,25,женщина,бытовая техника,есть просрочки платежей,надежный
без жилья,1,46,21690,26,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
домовладелец,2,46,5043,34,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
арендатор,1,51,20564,25,женщина,новая машина,есть непогашенные кредиты,надежный
домовладелец,1,22,12026,33,мужчина (одинокий),новая машина,все кредиты погашены,ненадежный
домовладелец,1,37,22828,73,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,3,27,9411,32,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,61,10445,36,мужчина (женатый или вдовец),бизнес,есть непогашенные кредиты,надежный
без жилья,2,60,22472,38,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,2,61,10878,27,мужчина (разведенный),бизнес,есть просрочки платежей,ненадежный
без жилья,1,34,15346,54,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,57,8785,40,мужчина (одинокий),бытовая техника,есть просрочки платежей,ненадежный
без жилья,1,103,23452,61,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
арендатор,2,22,9932,26,мужчина (женатый или вдовец),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,56,10378,27,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,42,10630,28,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,48,11937,59,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
арендатор,2,37,12356,27,женщина,мебель,есть просрочки платежей,надежный
домовладелец,2,51,16659,32,мужчина (одинокий),образование,есть просрочки платежей,надежный
домовладелец,1,66,11611,32,мужчина (одинокий),другое,все кредиты погашены,ненадежный
домовладелец,1,53,7365,33,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,44,14128,32,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,27,7856,50,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
без жилья,1,44,20570,71,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,73,13732,31,мужчина (одинокий),новая машина,все кредиты погашены,надежный
домовладелец,2,74,19723,65,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,1,73,10547,35,мужчина (женатый или вдовец),новая машина,есть непогашенные кредиты,надежный
арендатор,1,59,18757,24,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,48,11475,55,мужчина (одинокий),ремонт жилья,есть просрочки платежей,надежный
арендатор,2,62,15239,58,мужчина (разведенный),бизнес,есть непогашенные кредиты,ненадежный
домовладелец,1,60,7544,30,женщина,новая машина,есть непогашенные кредиты,ненадежный
без жилья,2,68,11569,33,мужчина (одинокий),новая машина,все кредиты погашены,ненадежный
без жилья,1,68,9759,60,мужчина (одинокий),образование,есть непогашенные кредиты,надежный
домовладелец,1,39,15643,27,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,11,14884,87,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
арендатор,2,63,14137,29,женщина,новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,44,10222,27,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
арендатор,1,56,12957,28,женщина,мебель,есть непогашенные кредиты,надежный
арендатор,1,50,10926,31,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,74,15102,23,женщина,новая машина,есть непогашенные кредиты,ненадежный
арендатор,1,61,9107,18,женщина,новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,63,16670,39,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
без жилья,1,17,9904,30,женщина,образование,все кредиты погашены,ненадежный
домовладелец,2,70,15978,61,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,3,37,9126,49,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,1,48,16463,27,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
домовладелец,2,54,12529,27,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
арендатор,1,37,10576,23,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,2,67,10533,33,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
без жилья,1,42,11349,28,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
арендатор,1,74,14887,37,мужчина (разведенный),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,3,37,14435,32,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
арендатор,1,53,10333,27,мужчина (одинокий),бытовая техника,все кредиты погашены,ненадежный
арендатор,1,68,14381,29,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,1,37,6037,21,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,80,21597,22,мужчина (одинокий),подержанная машина,есть просрочки платежей,ненадежный
арендатор,1,54,15976,20,женщина,подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,27,11551,28,женщина,образование,есть просрочки платежей,ненадежный
домовладелец,1,42,8432,47,женщина,образование,есть непогашенные кредиты,ненадежный
без жилья,1,91,16370,54,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,67,13728,57,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
арендатор,1,44,6013,21,женщина,мебель,есть непогашенные кредиты,надежный
арендатор,2,34,5111,53,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,87,20113,31,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,78,24867,32,женщина,другое,не было кредитов,ненадежный
домовладелец,1,42,8146,49,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,48,11878,35,мужчина (одинокий),мебель,есть просрочки платежей,ненадежный
домовладелец,1,46,10120,23,мужчина (одинокий),другое,есть просрочки платежей,надежный
домовладелец,1,34,11358,59,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,67,18854,24,мужчина (одинокий),другое,есть просрочки платежей,надежный
домовладелец,1,48,15877,24,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,60,8258,18,женщина,мебель,есть просрочки платежей,надежный
домовладелец,1,44,12883,34,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,62,19485,38,мужчина (одинокий),бизнес,есть просрочки платежей,надежный
без жилья,1,70,8453,40,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
арендатор,1,53,13371,20,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,1,51,10089,25,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
арендатор,2,75,17307,22,мужчина (одинокий),мебель,есть просрочки платежей,надежный
домовладелец,1,60,11184,47,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,2,22,19429,40,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
арендатор,1,68,14595,26,мужчина (разведенный),мебель,есть непогашенные кредиты,надежный
домовладелец,2,42,8606,27,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
домовладелец,2,34,10287,27,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,75,12691,28,женщина,новая машина,есть непогашенные кредиты,ненадежный
без жилья,1,102,18707,40,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,2,39,10602,31,женщина,новая машина,есть просрочки платежей,надежный
домовладелец,1,48,15290,27,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,30,10744,25,женщина,новая машина,есть непогашенные кредиты,надежный
арендатор,1,64,7274,18,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,78,14666,23,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,46,8512,30,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,1,46,11861,50,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,46,14231,55,мужчина (одинокий),образование,есть просрочки платежей,надежный
арендатор,1,42,9321,43,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,74,16171,25,мужчина (разведенный),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,48,9605,21,мужчина (разведенный),бытовая техника,есть непогашенные кредиты,надежный
без жилья,1,73,21347,66,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,75,9469,32,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
домовладелец,1,56,13636,39,мужчина (разведенный),новая машина,есть просрочки платежей,надежный
домовладелец,1,79,13031,44,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,2,89,18737,19,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,1,80,20194,55,женщина,подержанная машина,все кредиты погашены,ненадежный
домовладелец,1,44,7910,39,мужчина (женатый или вдовец),бытовая техника,есть просрочки платежей,ненадежный
домовладелец,1,53,10747,22,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,73,15932,25,женщина,бытовая техника,есть просрочки платежей,надежный
без жилья,3,64,18074,53,мужчина (женатый или вдовец),бытовая техника,есть просрочки платежей,надежный
арендатор,1,77,12615,20,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,48,14274,18,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,1,63,17245,30,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,80,22135,30,женщина,бытовая техника,есть просрочки платежей,надежный
домовладелец,1,61,13861,28,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,37,11457,22,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,63,17214,34,мужчина (одинокий),мебель,есть просрочки платежей,надежный
домовладелец,1,99,22016,45,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,37,3982,29,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
без жилья,2,48,16520,36,мужчина (одинокий),ремонт жилья,есть просрочки платежей,надежный
домовладелец,1,68,6827,30,женщина,образование,есть непогашенные кредиты,ненадежный
домовладелец,1,68,14320,38,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
домовладелец,1,68,11786,32,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,54,10923,23,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,76,12946,23,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,30,9961,53,мужчина (разведенный),мебель,есть непогашенные кредиты,надежный
домовладелец,1,46,5871,67,мужчина (одинокий),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,82,14947,39,мужчина (разведенный),подержанная машина,есть непогашенные кредиты,надежный
арендатор,2,78,20103,25,женщина,мебель,есть просрочки платежей,ненадежный
домовладелец,2,62,14923,21,женщина,мебель,есть просрочки платежей,надежный
без жилья,2,73,17671,22,женщина,образование,есть просрочки платежей,надежный
домовладелец,2,67,14857,32,мужчина (одинокий),бизнес,есть просрочки платежей,надежный
домовладелец,1,46,16368,22,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,3,37,11951,56,мужчина (одинокий),образование,есть непогашенные кредиты,надежный
арендатор,1,60,16298,29,мужчина (одинокий),бизнес,все кредиты погашены,ненадежный
домовладелец,1,46,11914,31,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,94,18954,26,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,48,13362,27,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
домовладелец,2,27,9460,28,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,63,17009,32,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,80,19800,30,мужчина (одинокий),образование,есть просрочки платежей,ненадежный
домовладелец,1,51,16534,25,женщина,бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,75,14714,28,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
арендатор,2,53,10993,24,женщина,новая машина,не было кредитов,ненадежный
домовладелец,1,56,11746,27,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,22,13276,25,мужчина (женатый или вдовец),новая машина,есть просрочки платежей,надежный
домовладелец,1,68,12498,30,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,2,76,18958,32,мужчина (женатый или вдовец),новая машина,есть просрочки платежей,ненадежный
домовладелец,1,72,16848,26,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,50,14992,57,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,73,12578,21,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
арендатор,1,66,12145,28,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,42,13062,29,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,1,56,13753,21,женщина,бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,39,6518,30,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,37,13058,68,мужчина (одинокий),мебель,есть просрочки платежей,ненадежный
домовладелец,2,51,9661,40,мужчина (одинокий),новая машина,есть просрочки платежей,надежный
домовладелец,2,81,16512,33,женщина,бизнес,не было кредитов,надежный
домовладелец,1,74,19077,29,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,2,80,18346,25,женщина,новая машина,есть просрочки платежей,ненадежный
арендатор,1,87,21438,30,мужчина (одинокий),мебель,есть непогашенные кредиты,ненадежный
домовладелец,1,30,14037,31,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,57,13076,32,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
арендатор,1,94,18133,33,мужчина (одинокий),бизнес,есть непогашенные кредиты,ненадежный
домовладелец,1,37,6160,30,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,1,17,8517,32,женщина,новая машина,все кредиты погашены,ненадежный
домовладелец,2,50,8135,36,мужчина (женатый или вдовец),бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,44,14511,44,женщина,мебель,есть непогашенные кредиты,надежный
домовладелец,1,64,8197,37,мужчина (одинокий),новая машина,есть просрочки платежей,ненадежный
домовладелец,2,46,8963,38,мужчина (одинокий),бытовая техника,не было кредитов,ненадежный
домовладелец,2,60,10336,38,мужчина (женатый или вдовец),бытовая техника,есть просрочки платежей,надежный
домовладелец,1,72,15072,26,женщина,новая машина,есть непогашенные кредиты,надежный
домовладелец,2,59,20673,38,мужчина (одинокий),другое,есть просрочки платежей,ненадежный
домовладелец,2,46,10415,25,мужчина (одинокий),ремонт жилья,не было кредитов,ненадежный
домовладелец,1,63,12389,37,мужчина (одинокий),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,30,7099,23,мужчина (одинокий),бытовая техника,все кредиты погашены,надежный
домовладелец,1,50,12083,33,женщина,бытовая техника,есть непогашенные кредиты,надежный
без жилья,1,60,10389,53,мужчина (одинокий),подержанная машина,есть непогашенные кредиты,надежный
без жилья,1,81,21225,35,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,59,18274,36,мужчина (разведенный),мебель,не было кредитов,надежный
без жилья,1,91,19523,31,мужчина (одинокий),образование,есть просрочки платежей,надежный
арендатор,2,81,18148,29,женщина,бизнес,не было кредитов,ненадежный
домовладелец,3,53,16269,54,мужчина (одинокий),мебель,есть непогашенные кредиты,надежный
домовладелец,1,62,18723,28,мужчина (одинокий),новая машина,есть непогашенные кредиты,ненадежный
домовладелец,2,27,941,53,женщина,новая машина,есть просрочки платежей,надежный
домовладелец,1,37,7772,27,мужчина (женатый или вдовец),новая машина,есть непогашенные кредиты,надежный
домовладелец,1,17,11007,65,мужчина (разведенный),другое,есть непогашенные кредиты,надежный
арендатор,1,74,15035,22,женщина,мебель,есть непогашенные кредиты,ненадежный
без жилья,1,74,22959,42,мужчина (одинокий),образование,есть непогашенные кредиты,ненадежный
домовладелец,1,46,16076,30,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,надежный
домовладелец,2,59,14283,39,женщина,мебель,не было кредитов,надежный
домовладелец,1,46,10652,32,мужчина (одинокий),другое,не было кредитов,надежный
домовладелец,1,75,15311,33,женщина,другое,все кредиты погашены,надежный
домовладелец,1,63,8596,30,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
домовладелец,1,68,16291,29,женщина,бытовая техника,есть непогашенные кредиты,надежный
арендатор,1,54,13619,46,женщина,мебель,есть непогашенные кредиты,надежный
арендатор,1,79,22144,31,мужчина (женатый или вдовец),подержанная машина,есть непогашенные кредиты,ненадежный
арендатор,1,70,12150,20,мужчина (одинокий),бытовая техника,есть непогашенные кредиты,ненадежный
без жилья,2,79,21511,29,мужчина (одинокий),подержанная машина,есть просрочки платежей,надежный
домовладелец,1,50,14563,36,мужчина (одинокий),бизнес,есть непогашенные кредиты,надежный
